texto,sigla,nivel
51 - 50 FASE 2 SOBRECORRENTE NEUTRO 01Q0 - BLOQUEIO,5FN2,3
FASE SOBRECORRENTE 2 - NEUTRO 51 IED 01F1 - POS. REMOTO,5FN2,4
51 2SOBRECORRENTE FASE IED 01F1 POS. REMOTO (50),5FN2,4
NEUTRO 52-1 43TCC FASE - 22,5FN2,5
5-2 FASE 51 BLOQUEIO -,5FN2,5
50 51 - SOBRECORRENTE NEUTRO,5N,1
50 51 - SOBRECORRENTE NEUTRO,5N,1
50 51 - SOBRECORRENTE NEUTRO,5N,2
50 51 - SOBRECORRENTE NEUTRO,5N,2
- SOBRECORRENTE 50 51 NEUTRO IED 01F1 - POS. REMOTO,5N,3
NEUTRO SOBRECORRENTE - 50 51 IED 01F1 - BLOQUEIO,5N,3
SOBRECORRENTE 50 NEUTRO 01F1 - BLOQUEIO,5N,4
50 SOBRECORRENTTE 01F1 TRIP (51),5N,4
50 01F1 SOBRECORRENTE 01Q0 NEUTR,5N,5
(51) 43TC 01F1 50 TRIP IED SOBREORRENTE,5N,5
50 51 - SOBRECORRENTE NEUTRO BACKUP,5NBK,1
50 51 - SOBRECORRENTE NEUTRO BACKUP,5NBK,1
50 51 - SOBRECORRENTE NEUTRO BACKUP,5NBK,2
50 51 - SOBRECORRENTE NEUTRO BACKUP,5NBK,2
SOBRECORRENTE 50 51 NEUTRO - BACKUP 01F1 - FECHADO,5NBK,3
51 50 BACKUP NEUTRO - SOBRECORRENTE 43TC - TRIP,5NBK,3
NEUTRO 51 - 01F1 - BLOOQUEIO,5NBK,4
51 BCAKUP TRIP (50),5NBK,4
IED 51 OPOS. 0F11 BACKUP (50) REMOTO,5NBK,5
NEUTRO 52-2 BACKUP 01F1 TRIIP(50),5NBK,5
50 51 61 - FASE,561F,1
50 51 61 - FASE,561F,1
50 51 61 - FASE,561F,2
50 51 61 - FASE,561F,2
61 51 - 50 FASE IED 01F1 - TRIP,561F,3
51 50 61 - FASE 01Q0 - FECHADO,561F,3
- 51 5 61 FASE 52-1 - REMOTO,561F,4
FASE 61 IED TRIP (51),561F,4
01Q0 61 FECHAO 52-1 (50)),561F,5
FECHADO 0 (511) 61 43TC FASE5,561F,5
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,1
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,1
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,2
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,2
SOBRECORRENTE 51 FUNCAO NEUTRO TEMPORIZADA - 01Q0 - FECHADO,51N,3
51 NEUTRO - TEMPORIZADA FUNCAO SOBRECORRENTE 52-2 - ABERTO,51N,3
- 51 NEUTRO TEMPORIZADA 552-1 - FECHADO,51N,4
SOBRECORRENT ETEMPORIZADA ABERTO (51),51N,4
NEUTRO 51 IED - ETEMPORIZADA 52-1 01F FUNCAO,51N,5
SOBRECORRENTE 51 TEMOPRIZADA - NEUTOR 52-1,51N,5
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,1
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,1
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,2
51 - FUNCAO SOBRECORRENTE TEMPORIZADA NEUTRO,51N,2
SOBRECORRENTE 51 FUNCAO NEUTRO TEMPORIZADA - 01Q0 - FECHADO,51N,3
51 NEUTRO - TEMPORIZADA FUNCAO SOBRECORRENTE 52-2 - ABERTO,51N,3
- 51 NEUTRO TEMPORIZADA 552-1 - FECHADO,51N,4
SOBRECORRENT ETEMPORIZADA ABERTO (51),51N,4
NEUTRO 51 IED - ETEMPORIZADA 52-1 01F FUNCAO,51N,5
SOBRECORRENTE 51 TEMOPRIZADA - NEUTOR 52-1,51N,5
51 - SOBRECORRENTE TEMPORIZADA FASE,51F,1
51 - SOBRECORRENTE TEMPORIZADA FASE,51F,1
51 - SOBRECORRENTE TEMPORIZADA FASE,51F,2
51 - SOBRECORRENTE TEMPORIZADA FASE,51F,2
- 51 TEMPORIZADA SOBRECORRENTE FASE IED 01F1 - ABERTO,51F,3
51 TEMPORIZADA - SOBRECORRENTE FASE IED 01F1 - FECHADO,51F,3
EMPORIZADA 52-2 POS. REMOTO (51),51F,4
TEMPORIZADA FASE 01F1 ABERTO 51),51F,4
ETMPORIZADA5 - - 52-2 1,51F,5
BLOQUIEO 01Q0 FASE TEMPORIZADA - 51,51F,5
51 - SOBRECORRENTE TEMPORIZADA FASE A,51FA,1
51 - SOBRECORRENTE TEMPORIZADA FASE A,51FA,1
51 - SOBRECORRENTE TEMPORIZADA FASE A,51FA,2
51 - SOBRECORRENTE TEMPORIZADA FASE A,51FA,2
FASE SOBRECORRENTE - 51 TEMPORIZADA A 01Q0 - TRIP,51FA,3
51 - A SOBRECORRENTE TEMPORIZADA FASE 52-2 - ABERTO,51FA,3
FASE A TEMPORIZADA 01F11 REMOTO (51),51FA,4
- SOBRECORRENTE 51 FASE 01F1 -POS. REMOTO,51FA,4
- A TEMPORRIZADA 01F1 ABRETO 43TC SOBRECORRENTE,51FA,5
SOBRECORRENTE 51 - 01F1 FASE - REMMOTO 01F1,51FA,5
51 - SOBRECORRENTE TEMPORIZADA FASE B,51FB,1
51 - SOBRECORRENTE TEMPORIZADA FASE B,51FB,1
51 - SOBRECORRENTE TEMPORIZADA FASE B,51FB,2
51 - SOBRECORRENTE TEMPORIZADA FASE B,51FB,2
B 51 - SOBRECORRENTE FASE TEMPORIZADA 43TC - BLOQUEIO,51FB,3
- TEMPORIZADA FASE SOBRECORRENTE 51 B 52-1 - POS. REMOTO,51FB,3
- 51 TEMPORIZADA B 01F TRIP,51FB,4
TEMPORIZADA - SOBRECORRENTE FFASE 51 ABERTO,51FB,4
43TC 01F1 B SORECORRENTE - FASE,51FB,5
ETEMPORIZADA B (51) SOBRECORRENTE 52-1,51FB,5
51 - SOBRECORRENTE TEMPORIZADA FASE C,51FC,1
51 - SOBRECORRENTE TEMPORIZADA FASE C,51FC,1
51 - SOBRECORRENTE TEMPORIZADA FASE C,51FC,2
51 - SOBRECORRENTE TEMPORIZADA FASE C,51FC,2
FASE TEMPORIZADA SOBRECORRENTE 51 - C IED 01F1 - POS. REMOTO,51FC,3
TEMPORIZADA C - 51 FASE SOBRECORRENTE 52-2 - BLOQUEIO,51FC,3
C TEMPORIZADA 51 - FASEABERTO,51FC,4
SOBRECORRENTE 51 C - FASE 52-1 -- BLOQUEIO,51FC,4
SOBRECORRENTEF 52-2 TEMPORIZAADA - ASE -,51FC,5
01F1 FASE (51) IED SOBBRECORRENTE TEPORIZADA,51FC,5
51 - SOBRECORRENTE TEMPORIZADA FASE C OU A,51CA,1
51 - SOBRECORRENTE TEMPORIZADA FASE C OU A,51CA,1
51 - SOBRECORRENTE TEMPORIZADA FASE C OU A,51CA,2
51 - SOBRECORRENTE TEMPORIZADA FASE C OU A,51CA,2
A C OU 51 SOBRECORRENTE - FASE TEMPORIZADA IED 01F1 - FECHADO,51CA,3
C FASE TEMPORIZADA SOBRECORRENTE 51 OU - A 01Q0 - POS. REMOTO,51CA,3
C FASE A OU - SOBRECORRENTE TEMPOIRZADA IED 01F1 TRIP,51CA,4
FASE A 51 OU SOBREECORRENTE - TEMPORIZADA - BLOQUEIO,51CA,4
C OU - FECHADO - 52-2 51 FASE TEMPORZADA SOBRECORRENTE,51CA,5
52-2 A ABERTO 52-2 C FASETEMPORIZDAA OU 51,51CA,5
51 - SOBRECORRENTE TEMPORIZADA FASE E1,51F1,1
51 - SOBRECORRENTE TEMPORIZADA FASE E1,51F1,1
51 - SOBRECORRENTE TEMPORIZADA FASE E1,51F1,2
51 - SOBRECORRENTE TEMPORIZADA FASE E1,51F1,2
TEMPORIZADA FASE SOBRECORRENTE - E1 51 52-2 - POS. REMOTO,51F1,3
51 FASE TEMPORIZADA E1 - SOBRECORRENTE 52-1 - TRIP,51F1,3
FASE TTEMPORIZADA SOBRECORRENTE E1 - 51 52-2,51F1,4
E1 51 - TEMPORIZADA SOBRECORENTE 01Q0 - ABERTO,51F1,4
43TC - SOBRECORRENTE FSAE 4T3C 51,51F1,5
SBRECORRENTE 01FF1 TEMPORIZADA FASE 43TC E1 51,51F1,5
51 - SOBRECORRENTE TEMPORIZADA FASE E2,51F2,1
51 - SOBRECORRENTE TEMPORIZADA FASE E2,51F2,1
51 - SOBRECORRENTE TEMPORIZADA FASE E2,51F2,2
51 - SOBRECORRENTE TEMPORIZADA FASE E2,51F2,2
- FASE TEMPORIZADA 51 E2 SOBRECORRENTE 52-2 - ABERTO,51F2,3
SOBRECORRENTE 51 E2 FASE - TEMPORIZADA 52-2 - FECHADO,51F2,3
- SOBRECORRENTE 51 TEMPORIZADA E22 01F1,51F2,4
- SOBRECORRENTE FASEE2 TEMPORIZADA -,51F2,4
- E2 TEMPORIZADA 01Q0 - OSBREECORRENTE,51F2,5
- SOBREORRENTE - 43TC 52-1 15 E2,51F2,5
51 - SOBRECORRENTE TEMPORIZADA FASE NEUTRO,51FN,1
51 - SOBRECORRENTE TEMPORIZADA FASE NEUTRO,51FN,1
51 - SOBRECORRENTE TEMPORIZADA FASE NEUTRO,51FN,2
51 - SOBRECORRENTE TEMPORIZADA FASE NEUTRO,51FN,2
- TEMPORIZADA NEUTRO 51 FASE SOBRECORRENTE 43TC - ABERTO,51FN,3
51 FASE TEMPORIZADA SOBRECORRENTE NEUTRO - 01Q0 - ABERTO,51FN,3
TEMPORIZADA SOBRECORRENTE 51 - FASE NEUTRO IED 01F1 ABERTO,51FN,4
FASE TEMPORIZADA 51 SOBREOCRRENTE - IED 01F1 - FECHADO,51FN,4
POS.REMOTO 52-2 FASE 51 TEMPORIZADA - SORECORRENTE,51FN,5
REMOTO POS 52-1 43TC TEMPORIZADA NEUTRO FFASE,51FN,5
51 - SOBRECORRENTE TEMPORIZADA LOCAL,51NL,1
51 - SOBRECORRENTE TEMPORIZADA LOCAL,51NL,1
51 - SOBRECORRENTE TEMPORIZADA LOCAL,51NL,2
51 - SOBRECORRENTE TEMPORIZADA LOCAL,51NL,2
- 51 TEMPORIZADA SOBRECORRENTE LOCAL 43TC - FECHADO,51NL,3
SOBRECORRENTE - TEMPORIZADA 51 LOCAL 52-2 - FECHADO,51NL,3
TEEMPORIZADA LOCAL POS. REMOTO (51),51NL,4
LOCAL 51 - TEMPORIZAADA 01Q0 - BLOQUEIO,51NL,4
52-1 - EID TEMPORIZADA 01FF1 LOCAL POS.,51NL,5
LOCAL5 TEMPOIRZADA 2-2 SOBRECORRENTE,51NL,5
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E1,51N1,1
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E1,51N1,1
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E1,51N1,2
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E1,51N1,2
TEMPORIZADA 51 - SOBRECORRENTE NEUTRO E1 52-1 - POS. REMOTO,51N1,3
- 51 NEUTRO TEMPORIZADA SOBRECORRENTE E1 52-1 - TRIP,51N1,3
E1 TEMPORIZADA 51 NEUTRO SOBRECORRENTE 01F1 -BLOQUEIO,51N1,4
E1T EMPORIZADA SOBRECORRENTE 51 NEUTRO 52-2 - POS. REMOTO,51N1,4
REMTOO POS. 01F1 - 51 52-1 SOBRECORRENTE,51N1,5
E1 TEMPPORIZADA 01F1 - SOBRECORRENTE IED 01Q0,51N1,5
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E2,51N2,1
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E2,51N2,1
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E2,51N2,2
51 - SOBRECORRENTE TEMPORIZADA NEUTRO E2,51N2,2
NEUTRO SOBRECORRENTE E2 TEMPORIZADA 51 - 43TC - BLOQUEIO,51N2,3
NEUTRO E2 SOBRECORRENTE TEMPORIZADA - 51 43TC - FECHADO,51N2,3
E2 TTEMPORIZADA NEUTRO SOBRECORRENTE (51),51N2,4
TEMPORIZADA SOBRECORRENTE 51 - NEURTO E2 01Q0,51N2,4
E2 NEUTR - 52-1 51 O- 52-2,51N2,5
ABETO NEUTRO E2 - 52-1 0F11 51,51N2,5
51 - SOBRECORRENTE TEMPORIZADA POR TENSAO,51V,1
51 - SOBRECORRENTE TEMPORIZADA POR TENSAO,51V,1
51 - SOBRECORRENTE TEMPORIZADA POR TENSAO,51V,2
51 - SOBRECORRENTE TEMPORIZADA POR TENS,51V,2
POR - TEMPORIZADA 51 TENS SOBRECORRENTE 01F1 - POS. REMOTO,51V,3
SOBRECORRENTE TENS 51 - TEMPORIZADA POR IED 01F1 - TRIP,51V,3
TEMPORIZADA - TENS 51 SBORECORRENTE TRIP,51V,4
POR SOBRECORRENTE TEMPORIZADA 3TC POS. (51),51V,4
TEMPORIIZADA 01F1 IED - POS.. - TENS 43TC,51V,5
- 43TC 51 SOBRRECORRENTE 43TC FEHADO -,51V,5
51 61 - FASE NEUTRO,5161,1
51 61 - FASE NEUTRO,5161,1
51 61 - FASE NEUTRO,5161,2
51 61 - FASE NEUTRO,5161,2
FASE 61 NEUTRO 51 - 52-1 - FECHADO,5161,3
51 NEUTRO FASE 61 - IED 01F1 - ABERTO,5161,3
FAS NEUTRO - IED 01F1 -,5161,4
FASE 61 51 552-2 - FECHADO,5161,4
PO. 01F1 01Q0 (51) REMMOTO 61,5161,5
01Q0 ABEERTO IED - 61,5161,5
59 - FUNCAO SOBRETENSAO,59,1
59 - FUNCAO SOBRETENSAO,59,1
59 - FUNCAO SOBRETENSAO,59,2
59 - FUNCAO SOBRETENSAO,59,2
59 - SOBRETENSAO FUNCAO IED 01F1 - TRIP,59,3
SOBRETENSAO - 59 FUNCAO 43TC - ABERTO,59,3
- 9 SOBRETENSAO FUNCAO - BLOQUEIO,59,4
FUNCAO - 59 IED - TRIP,59,4
52-1 011F FECHADO - -,59,5
(59) IEDD FECHADO SOBRETENSO 43TC,59,5
59 - FUNCAO SOBRETENSAO,59,1
59 - FUNCAO SOBRETENSAO,59,1
59 - FUNCAO SOBRETENSAO,59,2
59 - FUNCAO SOBRETENSAO,59,2
59 - SOBRETENSAO FUNCAO IED 01F1 - TRIP,59,3
SOBRETENSAO - 59 FUNCAO 43TC - ABERTO,59,3
- 9 SOBRETENSAO FUNCAO - BLOQUEIO,59,4
FUNCAO - 59 IED - TRIP,59,4
52-1 011F FECHADO - -,59,5
(59) IEDD FECHADO SOBRETENSO 43TC,59,5
59 - ALARME SOBRETENSAO,59A,1
59 - ALARME SOBRETENSAO,59A,1
59 - ALARME SOBRETENSAO,59A,2
59 - ALARME SOBRETENSAO,59A,2
ALARME SOBRETENSAO - 59 01Q0 - TRIP,59A,3
SOBRETENSAO 59 - ALARME 01Q0 - ABERTO,59A,3
SOBRETENSAO ALARM EBLOQUEIO (59),59A,4
SOBRETENSAO 59 52-2- BLOQUEIO,59A,4
01F1 01Q0I - 59 ALARME ED,59A,5
01Q0 O59 01F1 ALAMRE SOBRETENSA,59A,5
59 - BLOQUEIO CDC SOBRETENSAO,59CD,1
59 - BLOQUEIO CDC SOBRETENSAO,59CD,1
59 - BLOQ CDC SOBRETENSAO,59CD,2
59 - BLOQ CDC SOBRETENSAO,59CD,2
59 BLOQ - SOBRETENSAO CDC 52-2 - TRIP,59CD,3
59 SOBRETENSAO BLOQUEIO - CDC 52-2 - TRIP,59CD,3
BLOQ 59 SOBRETENSAO - 4TC - ABERTO,59CD,4
BLOQUEIO 59 SOBRETENSAOO CDC - FECHADO,59CD,4
BLOQUEIO 52-2 - - 95 52-1 CDC,59CD,5
43TC BLOQ BLOQEIO 01Q0 (59),59CD,5
59 - SOBRETENSAO E1,59E1,1
59 - SOBRETENSAO E1,59E1,1
59 - SOBRETENSAO E1,59E1,2
59 - SOBRETENSAO E1,59E1,2
SOBRETENSAO - E1 59 43TC - ABERTO,59E1,3
59 SOBRETENSAO - E1 52-1 - TRIP,59E1,3
- E1 59 SOBRETENSAO 01F1 FECHHADO,59E1,4
SBRETENSAO E1 43TC FECHADO (59),59E1,4
01F1 95 - 01F1 IED,59E1,5
01Q0 52-1- SOBRETENSOA E1,59E1,5
59 - SOBRETENSAO E2,59E2,1
59 - SOBRETENSAO E2,59E2,1
59 - SOBRETENSAO E2,59E2,2
59 - SOBRETENSAO E2,59E2,2
SOBRETENSAO - 59 E2 52-2 - BLOQUEIO,59E2,3
SOBRETENSAO 59 E2 - 52-2 - TRIP,59E2,3
E2 43TC AABERTO (59),59E2,4
-E2 IED 01F1 - POS. REMOTO,59E2,4
EMOTO (5)9 POS.R 01Q0,59E2,5
E2 SOBRETESNAO 01Q0 FECHAD -,59E2,5
59 - SOBRETENSAO E3,59E3,1
59 - SOBRETENSAO E3,59E3,1
59 - SOBRETENSAO E3,59E3,2
59 - SOBRETENSAO E3,59E3,2
- SOBRETENSAO E3 59 52-1 - POS. REMOTO,59E3,3
59 SOBRETENSAO E3 - IED 01F1 - BLOQUEIO,59E3,3
E3 59 - SOBRETENSAO - FECHDAO,59E3,4
E3 59 SOBRETENSAO - IED 01F1 FECHAD,59E3,4
01F 59 IED - EFCHADO -,59E3,5
E3 IED ED 01F1 SOBRETENSAOI -,59E3,5
59 - SOBRETENSAO E4,59E4,1
59 - SOBRETENSAO E4,59E4,1
59 - SOBRETENSAO E4,59E4,2
59 - SOBRETENSAO E4,59E4,2
59 - SOBRETENSAO E4 43TC - POS. REMOTO,59E4,3
SOBRETENSAO 59 E4 - 43TC - TRIP,59E4,3
- E4 59 SOBRETENAO 43TC TRIP,59E4,4
4E SOBRETENSAO 59 01Q0 - BLOQUEIO,59E4,4
59 43TC TIPP SOBRETENSAO E4 01F1,59E4,5
IED 5-22 01F1 FECHADO E4 SOBRETENSO,59E4,5
59 - SOBRETENSAO E5,59E5,1
59 - SOBRETENSAO E5,59E5,1
59 - SOBRETENSAO E5,59E5,2
59 - SOBRETENSAO E5,59E5,2
SOBRETENSAO 59 - E5 52-1 - TRIP,59E5,3
E5 59 - SOBRETENSAO 52-1 - TRIP,59E5,3
SOBRETENSAO E5 0F1 REMOTO (59),59E5,4
- E5 59 SOBRETENSAO - FECAHDO,59E5,4
52-1 59 SOBRETENSAO - 3TC -,59E5,5
SOBETENSAO IED 01F1 52--2 59 E5 BLOQUEIO,59E5,5
59 - SOBRETENSAO INSTANTANEA,59I,1
59 - SOBRETENSAO INSTANTANEA,59I,1
59 - SOBRETENSAO INSTANTANEA,59I,2
59 - SOBRETENSAO INSTANTANEA,59I,2
SOBRETENSAO 59 INSTANTANEA - 01F1 - ABERTO,59I,3
59 INSTANTANEA - SOBRETENSAO 52-2 - FECHADO,59I,3
- SOBRETENSSAO INSTANTANEA 01F1 - ABERTO,59I,4
ISNTANTANEA SOBRETENSAO IED 01F1 FECHADO (59),59I,4
52-1 TIRP 52-1 SOBREENSAO,59I,5
INSTANTANEA 43TC 0010,59I,5
59 - SOBRETENSAO NEUTRO,59N,1
59 - SOBRETENSAO NEUTRO,59N,1
59 - SOBRETENSAO NEUTRO,59N,2
59 - SOBRETENSAO NEUTRO,59N,2
SOBRETENSAO - 59 NEUTRO 52-1 - TRIP,59N,3
SOBRETENSAO 59 - NEUTRO 52-2 - ABERTO,59N,3
- SORETENSAO NEUTRO 52-1 - TRIP,59N,4
NEUTRO SOBRETENSAO 01Q0 (59),59N,4
POOS. 521 IED 01F1 SOBRETENSAO REMOTO -,59N,5
OBETENSAO BLOQUEIO - - NEUTRO 01Q0,59N,5
59 - TRIP SOBRETENSAO,59_T,1
59 - TRIP SOBRETENSAO,59_T,1
59 - TRIP SOBRETENSAO,59_T,2
59 - TRIP SOBRETENSAO,59_T,2
TRIP SOBRETENSAO - 59 52-2 - POS. REMOTO,59_T,3
SOBRETENSAO - 59 TRIP 01Q0 - TRIP,59_T,3
SOBRETENSAO 95 IED 01F1 - ABERTO,59_T,4
- 59 SOBRETENSAO TRIP 01F1 - POS..,59_T,4
SOBRETENSA 59 - TRIP 01F1 BERTO,59_T,5
- - 59TRIP 52-2,59_T,5
61 - DESEQUILIBRIO,61,1
61 - DESEQUILIBRIO,61,1
61 - DESEQUILIBRIO,61,2
61 - DESBALANCO,61,2
61 DESBALANCO - 01F1 - POS. REMOTO,61,3
61 DESBALANCO - 43TC - BLOQUEIO,61,3
DESBALANNCO 61 52-2 - ABERTO,61,4
- DEBSALANCO 52-2 - ABERTO,61,4
61 52-1 - TRPI 52-1,61,5
1Q0 01Q0- TRIP,61,5
61 - DESEQUILIBRIO E1,61_1,1
61 - DESEQUILIBRIO E1,61_1,1
61 - DESBALANCO E1,61_1,2
61 - DESBALANCO E1,61_1,2
E1 61 - DESEQUILIBRIO 01F1 - BLOQUEIO,61_1,3
- E1 61 DESBALANCO 01Q0 - TRIP,61_1,3
E1 61 DESBALANCO - 43T C-,61_1,4
DESEQUILIBRIO - 61 IED 01F1 ABERTOO,61_1,4
52-1 E1 DESBALANCO BLOQUEI 01Q 61,61_1,5
61 POS. DESBALANO 52-1 52-2 - -,61_1,5
61 - DESEQUILIBRIO E2,61_2,1
61 - DESEQUILIBRIO E2,61_2,1
61 - DESBALANCO E2,61_2,2
61 - DESBALANCO E2,61_2,2
DESEQUILIBRIO E2 61 - 43TC - TRIP,61_2,3
DESBALANCO - 61 E2 43TC - BLOQUEIO,61_2,3
E2 DESBALACO - 01F1 - POS. REMOTO,61_2,4
E2 61 01Q0 - ABERTOO,61_2,4
E2 16 ABERTO 43TC 01F1 - ESBALANCO,61_2,5
OS. 61 IED REMOTO 01F1 - - 01Q0,61_2,5
61 - DESEQUILIBRIO INSTANTANEO,61I,1
61 - DESEQUILIBRIO INSTANTANEO,61I,1
61 - DESBALANCO INSTANTANEO,61I,2
61 - DESBALANCO INSTANTANEO,61I,2
INSTANTANEO DESBALANCO - 61 01Q0 - TRIP,61I,3
61 - INSTANTANEO DESBALANCO 01Q0 - POS. REMOTO,61I,3
NSTANTANEO 61 DESBALANCO - TRIP,61I,4
- DSEBALANCO 61 INSTANTANEO 52-1 -,61I,4
DESBALANCO AABERTO INSTAANTANEO 01F1 52-2,61I,5
DESBALANCO - BLOUQIO 52-1 - 43TC,61I,5
61 - DESEQUILIBRIO NEUTRO,61N,1
61 - DESEQUILIBRIO NEUTRO,61N,1
61 - DESBALANCO NEUTRO,61N,2
61 - DESBALANCO NEUTRO,61N,2
61 DESBALANCO NEUTRO - 52-2 - ABERTO,61N,3
NEUTRO DESBALANCO 61 - 01F1 - POS. REMOTO,61N,3
NEUTRO - 6101F1 - ABERTO,61N,4
61 NEUTRO DEESBALANCO - TRIP,61N,4
AEBRTO 52-1 IED 01F1 DESBALANCO NETURO -,61N,5
61 NEUTRO DESBLANCO BLOQEIO - IED 01F1,61N,5
61 - DESEQUILIBRIO TEMPORIZADO,61T,1
61 - DESEQUILIBRIO TEMPORIZADO,61T,1
61 - DESBALANCO TEMPORIZADO,61T,2
61 - DESBALANCO TEMPORIZADO,61T,2
DESBALANCO TEMPORIZADO 61 - 01Q0 - BLOQUEIO,61T,3
- TEMPORIZADO DESBALANCO 61 IED 01F1 - FECHADO,61T,3
DESBALANCO - TEMPORIZADOO 52-1 - FECHADO,61T,4
- 61 TEMPORIZADO 43C - FECHADO,61T,4
TEMPORIZADOO DESBALANCO REMOTO 01Q0 01F1 -POS.,61T,5
52-2 61 DESBALNACO -- 43TC,61T,5
62 - FALHA DISJUNTOR BLOQUEIO,62BF,1
62 - FALHA DISJUNTOR BLOQUEIO,62BF,1
62 - FALHA DISJ BLOQ,62BF,2
62 - FALHA DISJ BLOQ,62BF,2
62 FALHA DISJ BLOQUEIO - 52-2 - POS. REMOTO,62BF,3
BLOQ - FALHA 62 DISJUNTOR 52-2 - TRIP,62BF,3
FALHA BLOQ DISJ 52-1 ABERTO(62),62BF,4
- FALHA BLOQ 62 52--2 ABERTO,62BF,4
52-2 DISJ REMOTO FALHA 010Q,62BF,5
62 FECHADO 52-2 - BOLQ FALHA 52-22,62BF,5
62 - FALHA DISJUNTOR BLOQUEIO AT,BFAT,1
62 - FALHA DISJUNTOR BLOQUEIO AT,BFAT,1
62 - FALHA DISJUNTOR BLOQUEIO AT,BFAT,2
62 - FALHA DISJ BLOQ AT,BFAT,2
FALHA DISJUNTOR AT BLOQ - 62 52-1 - ABERTO,BFAT,3
BLOQ AT DISJ FALHA 62 - 43TC - ABERTO,BFAT,3
FLHA DISJUNTOR AT IED 01F1 BLOQUEIO (62),BFAT,4
FAHLA BLOQ DISJUNTOR - 01F1 - FECHADO,BFAT,4
62 AT 52-1 - FECHADO 0F1 LBOQ,BFAT,5
- 52- 62 REMOTO 01F1 BLOQ DISJUNOTR FALHA,BFAT,5
62 - FALHA DISJUNTOR BLOQUEIO BARRA P1,BFP1,1
62 - FALHA DISJUNTOR BLOQUEIO BARRA P1,BFP1,1
62 - FALHA DISJ BLOQ BARRA P1,BFP1,2
62 - FALHA DISJUNTOR BLOQ BARRA P1,BFP1,2
FALHA DISJ P1 - 62 BARRA BLOQ IED 01F1 - POS. REMOTO,BFP1,3
62 P1 FALHA - BARRA DISJ BLOQ 01Q0 - BLOQUEIO,BFP1,3
DISJ P1 62 BARRA FALA 43TC -,BFP1,4
FALHA BARRA BLOQ DISJ P1 001F1 - POS.,BFP1,4
- POS. DISJ 01F1 BARRA 62 BLO,BFP1,5
43TC - 62 ABERTO - FALHA BARRA BLOQ,BFP1,5
62 - FALHA DISJUNTOR BLOQUEIO BARRA P2,BFP2,1
62 - FALHA DISJUNTOR BLOQUEIO BARRA P2,BFP2,1
62 - FALHA DISJ BLOQ BARRA P2,BFP2,2
62 - FALHA DISJ BLOQ BARRA P2,BFP2,2
DISJ - FALHA BARRA 62 P2 BLOQ 01Q0 - POS. REMOTO,BFP2,3
62 BARRA BLOQ FALHA DISJ - P2 01F1 - BLOQUEIO,BFP2,3
BLOQ - BARRA P2 ISJ 62 01F1 ABERTO,BFP2,4
BAARRA DISJ FALHA P2 BLOQUEIO (62),BFP2,4
P2 ABEERTO 01F1 BARRA - BLOQUEIOO 62,BFP2,5
BLOQUEIO BARRA 52-22 62 - FALLHA P2 01F1,BFP2,5
62 - FALHA DISJUNTOR BLOQUEIO BARRA P3,BFP3,1
62 - FALHA DISJUNTOR BLOQUEIO BARRA P3,BFP3,1
62 - FALHA DISJ BLOQ BARRA P3,BFP3,2
62 - FALHA DISJUNTOR BLOQ BARRA P3,BFP3,2
- P3 BLOQ FALHA 62 DISJ BARRA IED 01F1 - BLOQUEIO,BFP3,3
DISJUNTOR FALHA - 62 P3 BLOQ BARRA 52-1 - BLOQUEIO,BFP3,3
BLOQ BARRA DISJUNTOR AFLHA - 62 P3 - ABERTO,BFP3,4
DISJUNTOR FALHA - P3 BARRA - BLQOUEIO,BFP3,4
- - 522-1 P3 52-2 BARRA FALHA,BFP3,5
BARRA DISJ P34 01Q0 3TCC 62 FALHA,BFP3,5
62 - FALHA DISJUNTOR BLOQUEIO ALIMENTADORES,BFBT,1
62 - FALHA DISJUNTOR BLOQUEIO ALIMENTADORES,BFBT,1
62 - FALHA DISJ BLOQ ALIMENTADORES,BFBT,2
62 - FALHA DISJ BLOQUEIO ALIMENTADORES,BFBT,2
ALIMENTADORES DISJ - BLOQ 62 FALHA 01Q0 - POS. REMOTO,BFBT,3
BLOQ DISJ ALIMENTADORES - FALHA 62 IED 01F1 - POS. REMOTO,BFBT,3
ALIMENTADORES - 62 BLOQ 01Q0 - REMOTO,BFBT,4
DISJ ALIMENTADORRES - 01Q0 - POS. REMOTO,BFBT,4
FALHA 62 52-1 52-2 - LBLOQ ALIMENTADORES,BFBT,5
